epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.787,1.48241,2.23092,1.4781,0.98932,0.15496,0.59845,0.33616,1.38304,2.54149,1.49536,0.000468772,0.000468772,0.000468772
2,47.7363,1.47278,1.48317,1.44645,0.74393,0.54601,0.70918,0.389,1.48969,1.6106,1.5701,0.000935749,0.000935749,0.000935749
3,63.7494,1.50895,1.46019,1.46658,0.57169,0.55072,0.56744,0.27909,1.70451,1.76762,1.83879,0.00139329,0.00139329,0.00139329
4,80.1981,1.46879,1.34574,1.44851,0.65831,0.66578,0.70195,0.35209,1.56973,1.57864,1.708,0.00138656,0.00138656,0.00138656
5,97.6005,1.45779,1.29244,1.44285,0.67734,0.56381,0.62829,0.27433,1.91079,1.88054,2.06296,0.00137241,0.00137241,0.00137241
6,114.1,1.4415,1.23351,1.42964,0.74725,0.76873,0.82615,0.46533,1.44863,1.08335,1.538,0.00135826,0.00135826,0.00135826
7,130.3,1.45133,1.17613,1.42076,0.80053,0.76018,0.83979,0.45045,1.51658,1.07433,1.55144,0.00134412,0.00134412,0.00134412
8,145.954,1.44307,1.15304,1.41195,0.77847,0.74608,0.79799,0.42772,1.53114,1.09595,1.58123,0.00132997,0.00132997,0.00132997
9,161.528,1.41055,1.10369,1.38471,0.80364,0.74502,0.83174,0.47453,1.42376,1.02226,1.50718,0.00131582,0.00131582,0.00131582
10,177.276,1.38187,1.07442,1.36949,0.86941,0.76501,0.86641,0.50035,1.41147,0.93407,1.48726,0.00130168,0.00130168,0.00130168
11,192.79,1.3922,1.04853,1.37089,0.82609,0.79457,0.86963,0.48669,1.48618,0.89572,1.52137,0.00128753,0.00128753,0.00128753
12,208.747,1.38993,1.01205,1.36226,0.8602,0.82621,0.88556,0.50423,1.42377,0.8782,1.49056,0.00127338,0.00127338,0.00127338
13,224.38,1.38643,1.00957,1.37417,0.83958,0.78445,0.85692,0.47609,1.4902,0.94357,1.54483,0.00125923,0.00125923,0.00125923
14,240.098,1.352,0.96695,1.34922,0.81803,0.82034,0.88124,0.5104,1.43288,0.89563,1.48877,0.00124509,0.00124509,0.00124509
15,255.538,1.36292,0.94276,1.34559,0.80302,0.83361,0.87166,0.49627,1.40915,0.90369,1.46819,0.00123094,0.00123094,0.00123094
16,271.063,1.34851,0.94918,1.34432,0.84755,0.82776,0.8994,0.53004,1.39209,0.8381,1.44746,0.00121679,0.00121679,0.00121679
17,286.589,1.35708,0.93161,1.34587,0.85495,0.85879,0.90826,0.52817,1.44062,0.80303,1.50022,0.00120265,0.00120265,0.00120265
18,302.118,1.34002,0.94354,1.34254,0.82035,0.83496,0.87968,0.49814,1.43756,0.82703,1.49004,0.0011885,0.0011885,0.0011885
19,317.623,1.34532,0.90386,1.33535,0.79955,0.83149,0.87946,0.51169,1.39061,0.91944,1.48158,0.00117435,0.00117435,0.00117435
20,333.072,1.32308,0.90361,1.33213,0.88089,0.8618,0.91408,0.51716,1.44655,0.79156,1.49542,0.00116021,0.00116021,0.00116021
21,348.795,1.33272,0.90575,1.33157,0.85965,0.79027,0.87545,0.51822,1.43355,0.91456,1.47838,0.00114606,0.00114606,0.00114606
22,364.149,1.31086,0.88455,1.32139,0.88493,0.83805,0.90658,0.54178,1.37488,0.75354,1.45549,0.00113191,0.00113191,0.00113191
23,379.736,1.28878,0.87148,1.30969,0.87541,0.84989,0.90304,0.52737,1.36089,0.77794,1.4425,0.00111776,0.00111776,0.00111776
24,395.264,1.30235,0.86042,1.32565,0.8732,0.85198,0.90535,0.52152,1.38662,0.80822,1.46313,0.00110362,0.00110362,0.00110362
25,410.716,1.30465,0.84361,1.31076,0.89729,0.86089,0.92296,0.55658,1.38961,0.72867,1.4448,0.00108947,0.00108947,0.00108947
26,426.31,1.29235,0.85923,1.30124,0.83868,0.83138,0.89418,0.52583,1.38589,0.82767,1.44285,0.00107532,0.00107532,0.00107532
27,442.131,1.28969,0.85598,1.30194,0.90639,0.86391,0.92752,0.5607,1.33026,0.72771,1.40722,0.00106118,0.00106118,0.00106118
28,457.456,1.2691,0.82171,1.28689,0.8971,0.84132,0.91589,0.5505,1.37249,0.73733,1.44938,0.00104703,0.00104703,0.00104703
29,472.866,1.25787,0.81777,1.29021,0.88688,0.84069,0.90848,0.54731,1.37967,0.76311,1.42805,0.00103288,0.00103288,0.00103288
30,488.447,1.27127,0.82398,1.28759,0.88415,0.89771,0.92702,0.56508,1.32167,0.70326,1.40975,0.00101873,0.00101873,0.00101873
31,504.014,1.23774,0.79134,1.26961,0.88336,0.88019,0.92804,0.55057,1.3632,0.71031,1.45058,0.00100459,0.00100459,0.00100459
32,519.639,1.26961,0.80466,1.29959,0.86788,0.84585,0.90892,0.54351,1.36434,0.71931,1.42057,0.00099044,0.00099044,0.00099044
33,535.207,1.24568,0.80089,1.27737,0.91364,0.85862,0.92416,0.54558,1.38009,0.72827,1.42548,0.000976293,0.000976293,0.000976293
34,550.572,1.24721,0.7822,1.27214,0.89523,0.86114,0.93349,0.54518,1.39724,0.72989,1.46556,0.000962146,0.000962146,0.000962146
35,566.242,1.23753,0.78295,1.26602,0.88789,0.83207,0.9087,0.53134,1.36966,0.73943,1.45728,0.000947999,0.000947999,0.000947999
36,581.877,1.22789,0.75439,1.2657,0.91706,0.85594,0.92051,0.54718,1.3972,0.70329,1.48309,0.000933851,0.000933851,0.000933851
37,598.263,1.2084,0.74474,1.25714,0.88641,0.86832,0.92351,0.5604,1.33327,0.70461,1.42096,0.000919704,0.000919704,0.000919704
